Year,Primary Enrollment,GDP
2001,1190069.0,1490.92709
2002,1158299.0,1658.030785
2003,1120005.0,2068.123979
2004,1079598.0,2874.288483
2005,1023974.0,3771.278957
2006,972931.0,5291.575305
2007,947807.0,6771.414797
2008,956019.0,8458.017154
2009,950976.0,7165.223175
2010,957919.0,9070.488253
2011,985599.0,11634.0012
2012,1008459.0,12386.69927
2013,1056916.0,13890.63096
2014,1122282.0,12807.26069
2015,1196027.0,10510.77189
2016,1273774.0,7714.841844
2017,1356500.0,9247.581331
2018,1406967.0,9812.626371
2019,1461448.0,9812.595808
2020,1513077.0,9121.637138
